num,name,explaination,size,region,weight,requireSrt,Hpdecrease
small_1,PT병,누군가 부피를 줄이려다 포기하고 그냥 버렸습니다. 안에 담배꽁초가 들어있으니 마시지 마세요,S,마당,100,1,3
small_2,피자박스,기름에 찌들어 재활용이 불가능합니다. 말라비틀어진 피자 한 조각이 붙어 있습니다.,S,마당,200,1,7
small_3,우유곽,배가 빵빵하게 부풀어 올랐습니다. 유통기한이 지난 지 한참 된 것 같습니다. 절대 열지마시오.,S,마당,100,1,5
small_4,유리병,싸구려 술 냄새가 진동합니다. 누군가의 즐거운 파티는 청소부의 고달픈 아침이 되었습니다.,S,뒷골목,200,1,2
small_5,플라스틱 컵,"얼음이 다 녹아 미지근한 물이 되었습니다. 현대인의 생명수, '아아'가 담겨있던 흔적입니다.",S,뒷골목,100,1,8
small_6,버려진 식칼,"날이 무디고 녹슬었지만, 여전히 위협적입니다. 요리에 쓰였는지, 다른 곳에 쓰였는지는 알 수 없습니다.",S,뒷골목,500,1,5
small_7,버려진 옷,유행이 지나버린 옷입니다. 누군가에게는 빛나는 순간의 상징이었을 수도 있지만 현재는 그냥 쓰레기일 뿐입니다.,S,번화가,1000,2,3
small_8,도자기,출처를 알 수 없는 도자기입니다. 깨지기 쉬우니 조심하십시오.,S,번화가,2000,2,3
small_9,버려진 쇼핑백,"명품 로고가 박혀있지만, 안에는 생활 쓰레기만 가득합니다. 도시의 허영심을 보여주는 듯합니다.",S,번화가,3000,2,5
large_1,쓰레기 봉투,축축하고 묵직합니다. 안에서 무엇이 썩고 있는지 굳이 확인하고 싶지 않은 냄새가 납니다.,L,마당,5000,2,10
large_2,구형 컴퓨터,먼지 구덩이입니다. 이 하드디스크 안에는 누군가의 흑역사 소설이나 지우고 싶은 과거가 들어있을지도 모릅니다.,L,뒷골목,15000,3,5
large_3,에어컨,"여름의 구세주였지만, 이제는 거대한 고철 덩어리일 뿐입니다. 실외기 팬이 덜렁거립니다.",L,번화가,30000,5,10
#추가할거면 위쪽 인덱스를 건들지 말고 넣어주세요,,,,,,,
